image_name,tags
test_0,primary clear
test_1,primary clear
test_2,primary partly_cloudy
test_3,primary clear
test_4,primary partly_cloudy
test_5,primary clear
test_6,cultivation haze primary clear road partly_cloudy agriculture water
test_7,primary habitation clear road agriculture
test_8,primary clear
test_9,cultivation haze primary agriculture water
test_10,cultivation primary partly_cloudy agriculture water
test_11,cultivation primary clear agriculture
test_12,cloudy
test_13,cultivation primary clear agriculture
test_14,cultivation primary clear agriculture
test_15,primary clear
test_16,cultivation primary habitation clear road agriculture
test_17,primary clear partly_cloudy
test_18,haze primary clear
test_19,primary clear road selective_logging water
test_20,primary clear road agriculture water
test_21,primary clear agriculture water
test_22,cultivation primary habitation clear road agriculture
test_23,haze primary cloudy
test_24,primary road partly_cloudy agriculture water
test_25,primary clear
test_26,primary habitation road partly_cloudy agriculture
test_27,primary clear agriculture
test_28,primary road partly_cloudy agriculture
test_29,primary clear
test_30,primary partly_cloudy
test_31,haze primary cloudy
test_32,primary clear
test_33,primary clear road agriculture
test_34,cloudy
test_35,primary clear
test_36,primary clear
test_37,primary clear
test_38,primary clear
test_39,primary clear agriculture water
test_40,primary clear water
test_41,primary partly_cloudy
test_42,primary clear
test_43,primary clear
test_44,cultivation primary clear agriculture
test_45,haze primary road agriculture water
test_46,haze primary clear agriculture water
test_47,primary clear
test_48,primary clear
test_49,haze primary clear road agriculture water
test_50,primary clear
test_51,primary clear agriculture water
test_52,primary habitation clear road agriculture
test_53,primary habitation clear road agriculture water
test_54,primary clear
test_55,primary partly_cloudy
test_56,haze primary clear
test_57,cultivation primary clear agriculture water
test_58,primary clear
test_59,primary habitation clear road agriculture water
test_60,primary clear
test_61,cloudy
test_62,bare_ground primary clear road agriculture water
test_63,primary clear
test_64,cultivation primary clear agriculture
test_65,primary clear
test_66,primary clear
test_67,cultivation primary habitation clear road agriculture water
test_68,cloudy
test_69,cultivation primary clear agriculture
test_70,primary clear
test_71,primary partly_cloudy
test_72,primary clear road water
test_73,primary clear road partly_cloudy agriculture water
test_74,primary partly_cloudy
test_75,cultivation primary habitation road partly_cloudy agriculture
test_76,primary clear
test_77,primary clear
test_78,primary clear
test_79,cultivation primary clear agriculture
test_80,haze primary cloudy
test_81,haze cloudy
test_82,cultivation primary clear agriculture
test_83,primary clear
test_84,primary clear road agriculture water
test_85,primary clear road agriculture
test_86,primary clear
test_87,primary partly_cloudy
test_88,cultivation primary clear agriculture
test_89,haze primary cloudy
test_90,cloudy
test_91,cultivation primary clear agriculture
test_92,cloudy
test_93,primary clear
test_94,primary clear
test_95,cultivation primary road partly_cloudy agriculture
test_96,primary partly_cloudy cloudy
test_97,primary clear
test_98,primary partly_cloudy
test_99,clear water cloudy
test_100,primary clear road agriculture water
test_101,primary habitation clear road agriculture
test_102,primary clear
test_103,primary clear water
test_104,primary partly_cloudy
test_105,primary clear
test_106,haze primary clear
test_107,primary clear
test_108,cultivation primary habitation road partly_cloudy agriculture
test_109,primary road partly_cloudy agriculture water
test_110,primary partly_cloudy
test_111,primary partly_cloudy
test_112,cultivation primary road partly_cloudy agriculture
test_113,haze primary clear
test_114,haze primary clear agriculture water
test_115,cultivation primary clear agriculture
test_116,primary partly_cloudy agriculture
test_117,primary partly_cloudy agriculture water
test_118,primary habitation clear road agriculture
test_119,primary clear
test_120,haze primary clear road agriculture water
test_121,primary clear
test_122,primary clear
test_123,primary partly_cloudy
test_124,primary clear
test_125,primary partly_cloudy
test_126,cultivation primary clear agriculture
test_127,cloudy
test_128,primary clear
test_129,primary clear
test_130,primary clear
test_131,primary clear
test_132,primary clear water
test_133,cultivation haze primary clear agriculture
test_134,primary habitation clear road agriculture
test_135,primary habitation clear road agriculture
test_136,primary clear
test_137,cultivation primary clear agriculture
test_138,cultivation primary road partly_cloudy agriculture
test_139,primary clear partly_cloudy
test_140,cultivation primary clear agriculture
test_141,primary clear
test_142,primary clear
test_143,primary habitation clear road agriculture
test_144,cultivation haze primary clear road agriculture
test_145,cultivation primary clear road agriculture water
test_146,cultivation primary clear road partly_cloudy agriculture water
test_147,cultivation primary clear agriculture
test_148,primary partly_cloudy
test_149,primary partly_cloudy
test_150,cultivation primary habitation clear road agriculture
test_151,primary clear water
test_152,primary habitation clear road agriculture water
test_153,primary clear
test_154,primary clear
test_155,cultivation primary clear road agriculture
test_156,primary partly_cloudy
test_157,primary clear agriculture water
test_158,primary clear
test_159,primary road partly_cloudy agriculture water
test_160,haze primary clear road agriculture water
test_161,primary clear
test_162,primary clear water cloudy
test_163,primary partly_cloudy
test_164,haze primary clear
test_165,haze primary partly_cloudy
test_166,primary clear
test_167,primary clear
test_168,primary clear
test_169,primary partly_cloudy
test_170,primary road partly_cloudy agriculture
test_171,clear water cloudy
test_172,cloudy
test_173,primary clear
test_174,primary clear road water
test_175,primary clear
test_176,primary partly_cloudy
test_177,primary partly_cloudy
test_178,haze primary
test_179,primary clear agriculture water
test_180,primary clear partly_cloudy
test_181,cultivation primary clear agriculture
test_182,primary partly_cloudy
test_183,haze primary
test_184,primary clear
test_185,primary road partly_cloudy agriculture
test_186,cultivation primary habitation clear road agriculture
test_187,cultivation primary road partly_cloudy agriculture water
test_188,primary clear road agriculture water
test_189,cultivation primary habitation clear road agriculture
test_190,cultivation primary clear road partly_cloudy agriculture
test_191,primary clear
test_192,primary clear
test_193,primary clear partly_cloudy agriculture water
test_194,primary habitation clear road agriculture
test_195,haze primary clear road agriculture water
test_196,primary clear
test_197,primary clear
test_198,primary road partly_cloudy agriculture water
test_199,cultivation primary clear road agriculture
test_200,primary clear
test_201,haze primary cloudy
test_202,primary clear water
test_203,artisinal_mine primary clear road water
test_204,cultivation primary clear agriculture
test_205,primary clear
test_206,primary clear
test_207,haze primary clear
test_208,primary clear water cloudy
test_209,primary clear
test_210,primary clear
test_211,primary habitation clear road agriculture
test_212,primary habitation road partly_cloudy agriculture water
test_213,cultivation primary clear agriculture
test_214,primary partly_cloudy
test_215,primary clear road water
test_216,primary clear
test_217,cultivation primary clear agriculture
test_218,cultivation primary habitation clear road agriculture
test_219,primary clear agriculture water
test_220,haze primary cloudy
test_221,primary road partly_cloudy agriculture water
test_222,cloudy
test_223,primary clear
test_224,cultivation primary habitation clear road agriculture water
test_225,primary clear
test_226,primary clear
test_227,primary clear water
test_228,haze primary clear road agriculture water
test_229,cultivation primary habitation clear road agriculture water
test_230,cultivation primary road partly_cloudy agriculture
test_231,primary partly_cloudy
test_232,haze primary clear
test_233,primary clear
test_234,primary clear partly_cloudy
test_235,primary clear
test_236,primary clear
test_237,primary partly_cloudy
test_238,primary road partly_cloudy agriculture
test_239,cultivation primary clear agriculture
test_240,cultivation primary habitation clear road agriculture
test_241,primary habitation road partly_cloudy agriculture water
test_242,cultivation primary clear agriculture water
test_243,artisinal_mine primary habitation clear road agriculture water
test_244,primary clear
test_245,primary clear
test_246,primary clear water
test_247,primary clear
test_248,primary habitation clear road agriculture
test_249,primary clear road agriculture water
test_250,primary habitation clear road agriculture
test_251,primary habitation clear road
test_252,primary clear road water
test_253,primary partly_cloudy
test_254,primary clear
test_255,primary clear
test_256,primary clear
test_257,primary habitation clear road agriculture water
test_258,primary clear
test_259,primary clear water
test_260,haze primary clear
test_261,primary clear
test_262,cultivation primary clear agriculture water
test_263,primary clear road agriculture water
test_264,haze primary clear
test_265,primary partly_cloudy agriculture water cloudy
test_266,cultivation primary partly_cloudy agriculture water
test_267,primary clear
test_268,cultivation primary clear road agriculture
test_269,cultivation primary habitation clear road agriculture
test_270,primary clear agriculture water
test_271,primary clear
test_272,cultivation primary habitation clear road partly_cloudy agriculture
test_273,primary clear water cloudy
test_274,cultivation primary habitation clear road agriculture water
test_275,haze primary cloudy
test_276,primary clear road agriculture
test_277,haze primary clear agriculture water
test_278,primary clear
test_279,primary clear partly_cloudy
test_280,primary partly_cloudy
test_281,bare_ground primary clear road agriculture
test_282,primary habitation clear road agriculture
test_283,primary clear
test_284,primary clear
test_285,cultivation primary clear road agriculture
test_286,primary road partly_cloudy agriculture water
test_287,cultivation primary habitation clear road agriculture water
test_288,cultivation primary habitation clear road agriculture water
test_289,primary clear road agriculture water
test_290,primary clear
test_291,cultivation primary clear road agriculture
test_292,primary clear
test_293,primary habitation clear road agriculture
test_294,primary clear
test_295,primary clear road agriculture
test_296,primary partly_cloudy
test_297,primary clear agriculture
test_298,primary road partly_cloudy agriculture water
test_299,primary clear
test_300,cloudy
test_301,cultivation primary clear agriculture
test_302,primary clear
test_303,primary partly_cloudy
test_304,primary clear road agriculture
test_305,haze primary clear road agriculture water
test_306,primary clear agriculture water
test_307,primary clear agriculture water
test_308,primary partly_cloudy
test_309,primary clear
test_310,haze primary clear
test_311,primary clear
test_312,primary clear
test_313,cultivation primary habitation clear road partly_cloudy agriculture
test_314,cloudy
test_315,primary clear partly_cloudy
test_316,cloudy
test_317,primary clear
test_318,primary partly_cloudy
test_319,primary road partly_cloudy agriculture water
test_320,primary clear
test_321,haze primary clear
test_322,cultivation primary clear agriculture
test_323,primary clear
test_324,primary clear
test_325,cultivation primary clear agriculture
test_326,primary clear
test_327,primary clear
test_328,primary clear
test_329,primary habitation clear road partly_cloudy agriculture
test_330,primary clear
test_331,haze primary
test_332,primary clear
test_333,primary road partly_cloudy agriculture
test_334,cloudy
test_335,primary partly_cloudy
test_336,primary clear partly_cloudy
test_337,primary habitation clear road agriculture
test_338,primary clear road agriculture water
test_339,primary clear partly_cloudy
test_340,primary clear road agriculture water
test_341,primary clear road agriculture water
test_342,cloudy
test_343,primary clear road agriculture
test_344,primary clear road agriculture water
test_345,primary partly_cloudy agriculture water
test_346,primary clear
test_347,primary clear road agriculture water
test_348,haze primary clear road agriculture water
test_349,primary habitation clear road agriculture
test_350,primary habitation clear road agriculture water
test_351,primary clear
test_352,primary clear water
test_353,clear water cloudy
test_354,primary clear
test_355,primary clear
test_356,primary clear road agriculture
test_357,primary clear
test_358,haze primary
test_359,primary clear road selective_logging water
test_360,cultivation primary clear agriculture
test_361,cloudy
test_362,primary habitation clear road agriculture
test_363,primary habitation road partly_cloudy agriculture
test_364,bare_ground primary clear road agriculture
test_365,primary clear
test_366,primary habitation clear road agriculture water
test_367,haze primary clear agriculture
test_368,primary clear
test_369,primary habitation clear road partly_cloudy agriculture
test_370,primary clear
test_371,primary clear
test_372,primary clear road agriculture
test_373,haze cloudy
test_374,haze primary clear road agriculture water
test_375,primary clear partly_cloudy
test_376,primary clear
test_377,primary partly_cloudy
test_378,primary partly_cloudy
test_379,haze primary
test_380,cultivation primary habitation clear road agriculture water
test_381,primary clear
test_382,primary road partly_cloudy agriculture water
test_383,artisinal_mine primary habitation clear road water
test_384,primary clear
test_385,primary road partly_cloudy agriculture
test_386,primary clear
test_387,primary clear
test_388,bare_ground primary clear road agriculture
test_389,haze primary clear road agriculture water
test_390,cultivation primary habitation clear road agriculture
test_391,primary clear
test_392,primary partly_cloudy
test_393,haze primary clear road agriculture water
test_394,primary clear
test_395,cultivation primary habitation clear road agriculture
test_396,primary clear
test_397,primary clear
test_398,primary clear road agriculture water
test_399,primary clear road agriculture water
test_400,primary clear
test_401,cultivation primary clear agriculture
test_402,cloudy
test_403,primary clear
test_404,cultivation primary clear agriculture
test_405,primary clear water
test_406,haze primary
test_407,primary clear
test_408,primary clear water
test_409,primary clear
test_410,primary partly_cloudy cloudy
test_411,cultivation primary habitation clear road agriculture water
test_412,cultivation primary clear agriculture
test_413,primary clear
test_414,cloudy
test_415,primary clear
test_416,cultivation primary habitation clear road agriculture
test_417,primary clear road agriculture water
test_418,primary clear
test_419,primary partly_cloudy
test_420,cultivation primary clear road agriculture
test_421,haze primary clear
test_422,primary clear
test_423,primary clear
test_424,primary clear road agriculture water
test_425,primary clear partly_cloudy
test_426,cultivation primary clear agriculture
test_427,primary clear road selective_logging water
test_428,cultivation primary clear agriculture
test_429,primary partly_cloudy
test_430,cultivation primary habitation clear road agriculture water
test_431,primary clear
test_432,primary clear
test_433,primary clear
test_434,cultivation primary clear agriculture water
test_435,primary clear road agriculture water
test_436,clear water cloudy
test_437,primary clear
test_438,cultivation primary clear road agriculture water
test_439,bare_ground primary clear road agriculture water
test_440,primary partly_cloudy
test_441,primary clear
test_442,cultivation primary clear agriculture water
test_443,primary road partly_cloudy agriculture
test_444,primary road partly_cloudy agriculture water
test_445,primary clear
test_446,primary partly_cloudy water
test_447,primary clear water
test_448,cultivation primary clear agriculture
test_449,haze primary water cloudy
test_450,primary clear partly_cloudy
test_451,primary partly_cloudy agriculture water
test_452,haze primary clear
test_453,primary clear
test_454,primary clear
test_455,primary clear
test_456,cloudy
test_457,primary road partly_cloudy agriculture
test_458,primary habitation clear road agriculture water
test_459,primary clear
test_460,primary clear
test_461,primary habitation clear road agriculture
test_462,primary clear
test_463,primary clear
test_464,primary clear partly_cloudy
test_465,cultivation primary clear road agriculture
test_466,cultivation primary clear agriculture
test_467,haze primary clear
test_468,primary clear
test_469,cultivation primary clear agriculture
test_470,primary clear
test_471,primary clear
test_472,primary partly_cloudy
test_473,primary habitation clear road agriculture water
test_474,primary partly_cloudy
test_475,primary clear
test_476,primary cloudy
test_477,cultivation primary habitation clear road agriculture
test_478,primary habitation clear road agriculture
test_479,haze primary cloudy
test_480,cultivation primary clear agriculture
test_481,primary clear
test_482,primary clear
test_483,primary partly_cloudy
test_484,primary clear road agriculture water
test_485,primary clear
test_486,primary clear
test_487,cultivation primary road partly_cloudy agriculture water
test_488,primary clear
test_489,haze primary clear road agriculture water
test_490,cultivation primary clear agriculture
test_491,primary habitation clear road agriculture water
test_492,primary clear
test_493,primary clear water
test_494,cultivation primary clear agriculture
test_495,primary clear
test_496,cultivation primary partly_cloudy agriculture
test_497,cultivation primary habitation clear road agriculture
test_498,primary clear
test_499,primary clear
test_500,primary clear
test_501,primary clear
test_502,primary clear
test_503,bare_ground primary clear road agriculture
test_504,primary partly_cloudy
test_505,primary habitation clear road agriculture
test_506,primary clear
test_507,haze primary cloudy
test_508,primary habitation clear road agriculture water
test_509,primary clear
test_510,artisinal_mine primary clear road water
test_511,primary habitation clear road agriculture
test_512,haze primary
test_513,primary clear
test_514,haze primary partly_cloudy agriculture water
test_515,primary partly_cloudy
test_516,primary clear
test_517,primary habitation clear road agriculture
test_518,primary partly_cloudy agriculture water
test_519,haze primary clear road agriculture water
test_520,cloudy
test_521,primary partly_cloudy
test_522,primary clear road agriculture
test_523,primary partly_cloudy
test_524,haze primary
test_525,primary clear
test_526,primary habitation clear road agriculture
test_527,primary clear
test_528,primary habitation clear road agriculture
test_529,primary partly_cloudy
test_530,haze primary clear road partly_cloudy agriculture
test_531,primary clear road agriculture water
test_532,primary clear
test_533,primary clear
test_534,primary clear
test_535,primary clear
test_536,primary clear agriculture water
test_537,primary clear partly_cloudy
test_538,primary clear
test_539,cultivation primary partly_cloudy agriculture
test_540,primary clear road agriculture water
test_541,haze primary clear road agriculture water
test_542,primary clear road agriculture water
test_543,primary clear
test_544,cultivation primary habitation clear road agriculture
test_545,primary clear
test_546,primary clear road agriculture water
test_547,primary clear
test_548,primary partly_cloudy
test_549,haze primary road agriculture water
test_550,cultivation primary clear road partly_cloudy agriculture
test_551,primary habitation road partly_cloudy agriculture
test_552,primary clear
test_553,haze primary clear road agriculture water
test_554,primary clear
test_555,cultivation haze primary clear agriculture water
test_556,cloudy
test_557,primary clear
test_558,primary partly_cloudy water cloudy
test_559,primary clear
test_560,primary clear
test_561,primary partly_cloudy
test_562,cultivation primary clear agriculture
test_563,cultivation primary clear agriculture
test_564,primary habitation clear road
test_565,primary partly_cloudy
test_566,primary clear
test_567,primary partly_cloudy
test_568,primary habitation clear road agriculture water
test_569,primary clear
test_570,primary partly_cloudy
test_571,primary clear
test_572,primary partly_cloudy
test_573,primary clear
test_574,primary clear
test_575,primary clear
test_576,primary clear
test_577,haze primary clear partly_cloudy
test_578,haze primary
